Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ
David Noser,GLP,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Rather no,Yes,Rather no,Yes,Rather yes,Yes,No,Yes,No,Yes,Yes,Rather no,Rather yes,No,No,Yes,Rather yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Rather yes,No,Yes,Rather yes,No,Yes,No,No,No,Rather yes,Yes,Yes,No,3,3,5,-10.0,-11.0
Priya Yogalingam,GLP,No,No,No,No,Rather no,Yes,Yes,Rather yes,Yes,Rather no,6,Rather yes,Yes,No,Yes,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,No,Yes,Yes,Rather no,Rather yes,Rather yes,No,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,No,No,Rather no,Rather no,No,Rather yes,Yes,No,No,Rather no,Rather no,Yes,Rather yes,5,2,5,-10.5,-15.0
Nicola Flury,GLP,No,No,No,Rather yes,No,Yes,Yes,Yes,Yes,No,6,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,No,Rather no,Rather yes,Rather no,No,Rather no,No,No,Rather yes,No,Rather no,Yes,Yes,Yes,Rather yes,No,No,No,No,Rather no,Yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Yes,5,3,5,-2.5,-8.5
Laura Sarina Frei,GLP,Rather no,Rather no,No,Yes,Rather yes,Rather yes,Yes,Yes,Rather yes,No,5,Rather yes,Yes,Rather no,Rather yes,Rather no,Yes,No,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,No,Rather yes,Rather yes,No,Yes,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Yes,Rather yes,3,2,5,-14.5,-10.0
Matthias Beurer,GLP,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Rather no,5,Rather yes,Yes,No,Yes,Rather yes,Yes,Rather no,Yes,Rather yes,No,Rather yes,Rather no,Yes,Rather no,No,Rather no,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather yes,No,No,Rather yes,Rather yes,Yes,Yes,5,3,6,-12.5,-6.5
Désirée Egli,GLP,No,Rather no,No,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,6,Rather yes,Yes,Rather no,Rather yes,Rather yes,Yes,Rather no,Yes,Rather no,Rather no,Rather yes,No,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,No,Yes,Yes,Yes,Rather yes,Yes,Rather no,Rather no,Rather no,No,Yes,Yes,No,No,Rather no,Rather no,Yes,Rather yes,5,2,5,-8.0,-12.0
Gabriel Tanner,GLP,Rather no,Rather yes,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,Rather no,5,No,Yes,Rather no,Yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Yes,No,Rather no,Rather no,No,No,Rather no,No,No,No,Rather yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Rather no,No,Rather no,Rather no,Yes,Rather yes,5,1,5,-20.0,-15.0
Edzard Paulussen,GLP,No,No,No,Rather yes,Yes,Yes,Yes,Yes,Yes,No,5,Rather no,Yes,No,Yes,Rather yes,Yes,No,Yes,Rather no,No,No,Rather yes,Rather yes,No,No,Rather no,Rather no,No,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,Rather yes,No,No,Rather yes,Rather yes,Yes,Yes,Rather no,No,Rather yes,Yes,Yes,Yes,4,6,6,-7.5,-0.5
Patrick Ammersinn,GLP,No,Rather no,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,7,Rather yes,Rather no,No,Yes,Yes,Yes,Yes,Rather yes,No,No,Rather yes,Yes,Rather yes,No,Rather yes,Yes,Rather yes,Yes,No,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather no,Yes,Rather no,Rather no,No,Yes,Rather no,No,Rather yes,Yes,Rather no,No,4,1,1,15.0,-8.0
Sabin Brenner,GLP,Rather no,No,Rather no,No,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,5,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,Rather no,Yes,Yes,No,Rather no,Rather no,No,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,No,Rather no,Rather no,Yes,Rather yes,Rather no,Rather no,Rather no,Yes,Yes,Rather yes,4,3,5,-8.5,-2.5
Lydia Patrizia Buchser,GLP,Rather yes,Rather yes,No,Rather no,Rather yes,Rather yes,Yes,Yes,Yes,Rather no,5,Rather yes,Yes,No,Yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,No,Rather no,Rather no,No,Yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Yes,Rather no,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Yes,Yes,3,3,5,-12.0,-2.5
Romano Albizzati,GLP,No,Rather yes,No,Yes,Rather no,Rather yes,Yes,Yes,Rather yes,Rather no,6,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,Rather no,Rather no,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,No,Yes,Yes,Rather yes,Rather yes,Rather no,No,Rather yes,No,Rather no,Yes,Yes,No,Rather no,Yes,Rather yes,Yes,Rather yes,3,3,4,9.0,-3.0
Yvonne Martina Scheidegger,GLP,Rather no,Rather no,No,Rather yes,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,5,Rather yes,Rather yes,No,Yes,Rather no,Rather yes,No,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather no,Rather yes,No,No,Rather yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather no,Yes,Yes,Rather yes,No,Rather no,Rather yes,Rather yes,Rather no,Rather yes,No,Rather no,Rather no,Yes,Rather no,4,3,5,-16.5,-5.0
Julien Gérard Anet,GLP,Rather no,Rather yes,No,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,Rather no,5,Rather yes,Rather yes,No,Yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,No,No,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Yes,Rather yes,4,2,6,-9.5,-7.5
Irina Zürrer,GLP,No,Rather no,No,Rather yes,No,Yes,Yes,Yes,Yes,Rather no,6,Rather yes,Yes,No,Yes,Rather no,Yes,No,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Rather no,No,No,Rather yes,Rather no,Rather no,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,No,Rather no,Rather no,Yes,Rather yes,5,2,5,-14.5,-13.0
Michael Freudiger,GLP,Yes,Rather no,No,Rather no,Rather no,Rather yes,Yes,Rather yes,Yes,Rather no,4,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather no,Rather yes,No,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,No,Rather no,Yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,5,2,5,-14.0,-7.5
Melanie Ottinger,GLP,Rather no,Rather no,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Yes,Rather no,5,Rather no,Yes,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Yes,Rather yes,No,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,No,No,No,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,5,2,6,-15.5,-11.0
Ran Comfort,GLP,No,Yes,No,Yes,Rather no,Rather yes,Yes,Yes,Yes,Rather no,6,Rather no,Rather no,No,Yes,No,Rather yes,Rather yes,Rather yes,Rather yes,No,Yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather no,No,Rather no,Rather no,Yes,Rather no,Yes,Yes,No,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather no,No,No,Rather yes,Yes,Rather yes,Yes,2,6,5,6.5,1.0
Özlem (Özi) Kaleli,GLP,Yes,Yes,No,No,No,Yes,No,Yes,Rather no,No,7,Rather yes,Rather yes,No,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather no,No,Rather yes,Rather no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rather yes,Yes,Rather no,No,No,Yes,Rather no,No,No,Rather no,No,Rather yes,No,Yes,Yes,Yes,7,4,4,8.5,-0.5
Yves Crelier,GLP,No,No,No,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather yes,5,Rather yes,Rather yes,No,Yes,Rather no,Rather no,Yes,Yes,No,No,Rather no,No,Rather no,Rather yes,No,Rather no,Rather no,No,Rather yes,Rather no,Yes,Yes,Rather no,Rather yes,Yes,No,No,No,Rather yes,Yes,Rather yes,Rather no,Rather no,Yes,Rather yes,Yes,Rather yes,6,1,5,-12.0,-4.0
Martina Kofmehl-Göldi,GLP,Rather yes,Rather no,No,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,No,7,Rather yes,Yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,No,No,No,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Yes,Rather no,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Yes,Rather no,Rather no,Yes,Yes,Yes,Yes,5,1,2,-3.0,-8.0
Pascal Kägi,GLP,Rather yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Yes,5,Rather no,Yes,No,Rather yes,Rather no,No,Rather no,Rather yes,Rather no,Rather no,Rather yes,No,Yes,Rather yes,No,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,No,Rather yes,Yes,Yes,Yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,6,2,7,-21.0,-7.0
Kathrin Hager,GLP,Rather no,Rather no,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Yes,4,Rather yes,Yes,No,Yes,Yes,Yes,Yes,Rather yes,Rather no,No,No,Rather no,Rather yes,Yes,No,No,No,No,Yes,Rather yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Rather yes,Rather yes,Yes,Rather yes,No,Yes,Rather yes,Yes,Yes,4,2,5,-13.0,1.0
Patrick Hodel,GLP,Rather no,No,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Rather no,5,Rather no,Rather yes,No,Yes,Rather no,Rather yes,No,Yes,Yes,Rather yes,Yes,Rather no,Yes,Rather no,No,Rather no,Yes,No,Yes,Yes,No,Yes,Yes,Rather no,Yes,No,No,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Yes,Rather yes,5,4,5,-21.0,-13.0
Rolf Benz,GLP,No,Rather yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,Rather no,6,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,No,Rather no,No,Rather no,Rather yes,Rather yes,Rather no,No,Rather no,Rather no,Rather yes,Rather no,4,2,6,-3.5,-10.5
Oliver Hengartner,GLP,Rather no,Rather no,No,Yes,Yes,Rather yes,Yes,Yes,Yes,No,4,Rather no,Yes,No,Yes,Rather yes,Yes,No,Yes,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,No,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Yes,No,No,Rather no,Rather yes,Rather yes,Yes,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,7,1,7,-26.5,-8.0
Silvan Kübler,GLP,Rather no,No,Rather no,Rather yes,Rather no,Rather yes,Yes,No,Rather no,Rather yes,6,Yes,Rather yes,Rather no,Yes,Yes,No,Rather yes,No,No,No,No,Rather no,No,No,Rather no,Yes,Rather yes,Yes,No,No,Rather yes,No,Yes,Rather yes,Rather yes,No,Rather no,No,No,Rather no,Yes,No,Yes,Yes,Rather yes,Rather yes,Yes,1,4,2,27.5,-1.5
Katrin Stuber,GLP,Rather yes,Rather yes,No,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather no,6,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,5,4,6,-5.0,-5.0
Marcel Opprecht,GLP,No,Rather no,Rather no,Rather yes,No,Yes,Yes,Yes,Rather yes,No,7,Yes,Yes,Rather yes,Yes,Rather yes,Yes,Yes,Rather yes,No,No,Rather no,No,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather no,No,Yes,Yes,Yes,Yes,Yes,Yes,Rather no,Rather yes,Rather yes,Rather yes,Yes,No,No,Rather yes,Rather no,Yes,Rather yes,5,2,7,2.5,-6.0
Natalie Liisa Brechbühl Bolliger,GLP,Rather no,No,No,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,5,Rather no,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,No,Rather no,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather no,Yes,Rather yes,Rather no,No,Rather no,Rather no,Yes,Rather yes,5,1,6,-17.0,-8.0
Raphael Prager,GLP,Rather no,Rather no,No,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,Rather no,5,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,No,Rather no,Rather no,No,Rather no,Rather no,No,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,Yes,No,No,Rather no,Rather no,Yes,Yes,Rather no,No,Yes,Rather yes,Yes,Rather no,5,2,6,-11.5,-10.0
Sandra Lienhart,GLP,Rather no,Rather yes,No,Yes,No,Yes,Rather yes,Rather yes,Yes,No,6,Rather no,Yes,Rather no,Yes,Rather yes,Rather yes,No,Rather yes,Rather no,No,Yes,No,Rather no,No,No,Rather yes,Rather no,Rather yes,No,No,Yes,Rather no,Yes,Rather yes,Rather no,Rather no,Rather no,No,Rather no,Rather yes,Rather yes,No,No,Rather yes,Rather no,Rather yes,Rather yes,2,3,2,7.5,-11.0
Martin Riedi,GLP,Rather yes,Rather no,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,No,6,Rather yes,Rather yes,Rather no,Yes,Rather no,Yes,Yes,Rather yes,Rather no,No,Yes,Rather yes,Rather yes,Rather no,No,Rather yes,Yes,Yes,No,No,Rather yes,Rather no,Rather yes,Yes,Yes,No,No,No,Rather no,Rather yes,Yes,No,Rather no,Rather yes,Yes,Rather yes,No,5,3,5,-1.0,-10.0
Dominique Huber,GLP,No,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Rather no,5,Rather no,Yes,Rather no,Yes,Rather no,Rather yes,Rather no,Yes,Rather yes,No,Rather no,No,Rather yes,Rather no,No,No,Rather no,No,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather yes,Yes,No,No,No,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,5,2,5,-15.0,-8.5
Markus Arbenz,GLP,Rather yes,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,4,Rather no,Yes,No,Yes,No,Yes,Rather yes,Rather yes,Yes,Rather yes,No,Rather yes,Yes,Yes,No,Rather no,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,Yes,No,Rather no,Rather no,Rather yes,Yes,Yes,Yes,No,Rather no,Rather no,Yes,Rather no,7,1,7,-25.5,-11.5
Barbara Ettler,GLP,Rather yes,Rather no,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Rather no,3,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,Rather yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Rather yes,Rather yes,Yes,No,No,No,Rather no,Yes,Rather yes,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,7,1,7,-33.0,-8.0
Samuel Mösle,GLP,No,Rather no,No,Yes,No,Yes,Yes,Yes,Yes,Rather yes,6,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Yes,Yes,Rather yes,Rather no,No,Rather no,Rather no,Rather yes,Rather no,No,Rather no,Yes,Rather yes,Rather no,No,No,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,No,Yes,Yes,No,Rather no,Yes,Rather no,Yes,No,3,3,4,0.5,-12.5
Nina Dajcar,GLP,Rather yes,Rather yes,No,Rather no,Rather yes,Rather yes,Yes,Yes,Yes,No,5,Rather yes,Yes,Rather no,Yes,Rather yes,Yes,No,Yes,Yes,Rather no,Rather no,Rather no,Rather yes,Rather no,No,Rather no,No,No,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,Yes,No,No,No,Rather no,Rather yes,Yes,No,No,Rather no,Rather no,Yes,Rather yes,5,4,5,-12.0,-6.0
Stefan Furrer,GLP,No,Rather yes,No,Rather no,No,Yes,Yes,Yes,Rather yes,Rather no,6,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather no,No,No,Rather no,No,Rather no,No,No,No,No,Rather no,No,No,Rather yes,Rather yes,Yes,Yes,Rather yes,No,No,No,No,Rather yes,Rather yes,No,No,Rather yes,Rather no,Rather yes,Rather no,7,3,5,1.0,-7.0
Lisa Studer,GLP,Rather no,Rather yes,No,Rather yes,Rather yes,Rather yes,Yes,Yes,Yes,Rather no,5,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,No,No,Rather no,No,Rather no,No,Rather yes,Yes,Rather yes,Rather yes,Yes,No,No,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,5,2,5,-12.5,-7.5
Roland Müller,GLP,Rather no,Rather no,No,Yes,Rather yes,Yes,Yes,Rather yes,Yes,Rather yes,5,Rather yes,Rather yes,No,Yes,Yes,Yes,Rather no,Rather yes,No,No,Rather yes,Rather no,Rather no,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,No,Yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,No,Rather yes,Yes,No,No,Yes,Rather no,Rather yes,Rather yes,5,3,5,-2.5,-8.5
Renata Tschudi Lang,GLP,No,Rather yes,No,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather no,5,Rather yes,Rather yes,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,No,No,No,Rather no,Rather no,Rather no,Rather no,No,Rather yes,Rather yes,Rather no,Yes,Rather yes,No,No,Rather no,No,Yes,Rather yes,No,No,Rather yes,Rather no,Rather yes,Rather no,5,2,5,-7.0,-6.0
Jörg Stucki,GLP,Rather yes,Rather yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,6,Yes,Yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather no,No,No,No,Rather yes,Rather no,No,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,4,5,4,6.5,2.0
Martin Zehnder,GLP,Rather yes,Yes,No,Yes,Rather no,Yes,Rather no,Rather yes,Yes,Rather no,4,Rather yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather no,Yes,Rather yes,Yes,Rather no,No,Rather yes,Rather no,No,No,No,No,Rather no,Rather yes,No,Yes,Yes,No,Yes,No,No,Rather yes,Rather yes,Rather yes,Yes,No,No,Rather yes,No,Rather yes,Rather no,6,2,7,-24.0,-10.5
Julius Praetorius,Grüne,Yes,Rather yes,No,Yes,Yes,Rather no,Yes,Yes,Rather yes,Yes,1,Rather no,Yes,No,Yes,Rather no,Rather yes,Rather no,Yes,Yes,Rather yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Yes,Yes,Rather no,No,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,Yes,Rather no,Yes,Rather no,Yes,Rather yes,7,2,7,-40.5,-3.5
Kathrin Frei Glowatz,Grüne,Yes,Rather no,No,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,4,Rather no,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,No,No,Yes,Yes,Yes,Rather yes,Rather yes,No,Rather yes,Rather no,Yes,No,7,2,6,-39.0,-12.0
Michael Zundel,Grüne,Yes,Rather no,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,No,Yes,Rather yes,No,No,Yes,Yes,No,Yes,No,Yes,Rather yes,Yes,No,7,1,7,-40.0,-6.5
Maria Lischer,Grüne,Yes,Rather no,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather no,Rather yes,Yes,No,No,No,Yes,Yes,Rather no,Yes,No,Rather yes,Rather no,Yes,No,5,1,7,-43.0,-9.5
Andreas Büeler,Grüne,Yes,No,No,Rather yes,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,1,No,Rather yes,No,Yes,No,Rather yes,Yes,Yes,Rather yes,Yes,Rather no,No,Yes,Rather no,No,No,No,No,Rather yes,Rather no,Rather yes,Yes,Rather no,Yes,Yes,Rather no,No,Rather no,Yes,Yes,No,Yes,No,Yes,Rather no,Yes,No,7,1,7,-40.0,-5.5
Corinne Hertli-Wanner,Grüne,Yes,No,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,2,Rather yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Rather yes,Yes,No,Yes,Rather yes,No,Rather no,No,No,Yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,No,No,Rather no,Yes,Yes,No,Rather no,No,Yes,Rather yes,Yes,Rather no,7,2,7,-40.0,-6.0
Benjamin Kellerhals Vogel,Grüne,Yes,No,No,Yes,Yes,Rather yes,Yes,Rather yes,Yes,Yes,1,No,Yes,No,Yes,No,Rather yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather no,Yes,Rather yes,No,Yes,No,No,Rather no,Yes,Yes,No,Rather yes,No,Rather yes,Rather no,Yes,No,7,1,7,-45.5,-12.0
Reto Diener,Grüne,Yes,Rather yes,No,Rather yes,Rather yes,Rather no,Rather no,Yes,Yes,Yes,1,Rather yes,Rather yes,No,Yes,No,Yes,Yes,Yes,Yes,Rather yes,Yes,Rather no,Yes,Rather no,No,No,No,No,Yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,Rather no,No,No,Yes,Yes,Rather yes,Yes,No,Yes,Rather yes,Yes,No,7,2,7,-38.0,-3.0
Isabelle Meier,Grüne,Yes,Rather yes,No,Yes,Yes,Rather yes,Yes,Yes,Yes,Rather yes,3,No,Yes,No,Rather yes,No,Rather yes,Yes,Yes,Yes,No,Rather yes,No,Rather yes,Rather yes,No,Rather no,No,No,Rather yes,Rather no,Yes,Yes,Yes,Rather no,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,6,2,7,-35.5,-9.5
Andrin Bosshart,Grüne,Yes,Rather yes,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,No,No,Rather no,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather no,Yes,No,7,4,7,-39.5,-7.0
Ramona Lüthi-Wittmann,Grüne,Yes,No,No,Yes,Rather yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather no,Rather yes,Yes,Rather yes,No,Yes,Yes,Yes,No,Yes,No,Rather yes,Rather no,Yes,No,7,1,7,-48.0,-6.0
Casimir Moll,Grüne,Yes,No,Rather no,Rather yes,Rather no,Yes,Yes,Yes,Yes,Rather no,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Rather yes,Yes,Rather no,No,No,No,No,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,Yes,No,No,Rather no,Rather yes,Yes,Yes,Yes,No,Yes,Rather yes,Yes,Rather no,7,1,7,-28.5,-5.0
